,name,ratings,no_of_ratings,discount_price,actual_price,brand,size,color,resolution,type
610,80 cm (32 Inches) Wondertainment Series HD Ready LED Smart TV,,,,,Generic,32.0,,HD,Smart TV
611,"HD Ready Smart TV, Magnifiq, Black | Android TV",,,,,Generic,,BLACK,HD,Smart TV
612,Daktron 85 Inch 4K Ultra HD Smart LED TV,,,,,Generic,85.0,,4K,Smart TV
613,Daktron 75 Inch 4K Ultra HD Smart LED TV,,,,,Generic,75.0,,4K,Smart TV
614,Daktron 65 Inch 4K Ultra HD Smart LED TV,,,,,Generic,65.0,,4K,Smart TV
615,Daktron 39 Inch (512MB) Smart LED Full TV,,,,,Generic,39.0,,,Smart TV
616,Daktron 43 Inch (512MB) Smart Frameless LED Full TV,,,,,Generic,43.0,,,Smart TV
618,Daktron 32 Inch (1gb) Smart LED Full TV,,,,,Generic,32.0,,,Smart TV
619,Daktron 32 Inch (512MB) Smart LED Full TV,,,,,Generic,32.0,,,Smart TV
620,Daktron (49 Inch) 4K Smart LED Full TV,,,,,Generic,49.0,,4K,Smart TV
621,Daktron 43 Inch Smart Frameless (1Gb) LED Full TV,5.0,1,,,Generic,43.0,,,Smart TV
622,Daktron (32 inches) Frameless HD Ready LED TV,,,,,Generic,32.0,,HD,LED TV
623,Daktron 39 Inch (1GB) Smart LED Full TV,5.0,1,,,Generic,39.0,,,Smart TV
625,Daktron 24 Inch Smart LED Full TV (Black),,,,,Generic,24.0,BLACK,,Smart TV
626,Daktron 55 Inch Smart LED Full TV (DK4017FHD),5.0,1,,,Generic,55.0,,HD,Smart TV
627,Ultra Framless HD Smart Ready Android LED TV-32 A,,,,,Generic,,,HD,Smart TV
628,Ultra Framless HD Smart Ready Android LED TV-43 A,,,,,Generic,,,HD,Smart TV
629,Ultra Framless HD Smart Ready Android LED TV-43,,,,,Generic,,,HD,Smart TV
630,Ultra Framless HD Smart Ready Android LED TV-32,,,,,Generic,,,HD,Smart TV
631,Ultra Framless HD Smart Ready Android LED TV-50,,,,,Generic,,,HD,Smart TV
632,Ultra Framless HD Smart Ready Android LED TV-24,,,,,Generic,,,HD,Smart TV
633,Ultra Framless HD Smart Ready Android LED TV-24 A,,,,,Generic,,,HD,Smart TV
634,Ultra Framless HD Smart Ready Android LED TV-55,,,,,Generic,,,HD,Smart TV
635,Ultra Framless HD Smart Ready Android LED TV-40 A,,,,,Generic,,,HD,Smart TV
636,Ultra Framless HD Smart Ready Android LED TV-40,,,,,Generic,,,HD,Smart TV
637,INVANTER 2022 Model Smart TV FRAMLESS Android 43 INCH-SR 2 E,,,35990.0,36990.0,INVANTER,43.0,,,Smart TV
638,LED TV ASIN 55-SR 6 R,,,59990.0,60990.0,Generic,,,,LED TV
639,INVANTER 2022 Model Smart TV 55 INCH (102cm) Frameless Android WiFi -SR 4 J,,,59990.0,60990.0,INVANTER,55.0,,,Smart TV
640,INVANTER 2022 Model Smart TV 55 INCH Frameless Android WiFi Voice Remote- SR 1 C,,,59990.0,60990.0,INVANTER,55.0,,,Smart TV
641,INVANTER 2022 Model Smart TV 43 INCH Frameless Android WiFi Voice Remote - SR 1 B,,,22490.0,36990.0,INVANTER,43.0,,,Smart TV
642,INVANTER 2022 Model Smart TV 43 INCH (102cm) Frameless Android WiFi -SR 4 I,,,35990.0,36990.0,INVANTER,43.0,,,Smart TV
643,INVANTER 2022 Model Smart TV 32 INCH (102cm) Frameless Android WiFi -SR 4 H,,,13490.0,21990.0,INVANTER,32.0,,,Smart TV
644,INVANTER 2022 Model Smart TV 32 INCH Frameless Android WiFi Voice Remote - SR 1 A,,,11490.0,21990.0,INVANTER,32.0,,,Smart TV
645,LED TV ASIN 43-SR 6 Q,,,19990.0,36990.0,Generic,,,,LED TV
646,INVANTER 2022 Model Smart TV FRAMLESS Android 55 INCH-SR 2 F,,,36490.0,60990.0,INVANTER,55.0,,,Smart TV
648,"Star Home Portable 11.9 Inch Led TV Screen Analog TV with Wide View Angle with VGA, USB, HDMI, AV in/Out with All Functions",,,12999.0,21999.0,Generic,11.0,,HD,LED TV
649,WELLVISION 80 cm (32 inches) HD (1366x768) Built in WiFi OxygenPlay with Android Pie 9 Series HD Ready Smart LED TV,,,,,Generic,32.0,,HD,Smart TV
650,INVANTER Smart TV FRAMLESS Android 55 INCH-SR 2,,,59990.0,60990.0,INVANTER,55.0,,,Smart TV
651,INVANTER Smart TV FRAMLESS Android 43 INCH-SR 2,,,35990.0,36990.0,INVANTER,43.0,,,Smart TV
653,INVANTER Smart TV FRAMLESS Android 32 INCH-SR 2,,,13990.0,14990.0,INVANTER,32.0,,,Smart TV
